run_id,epoch,K/K(Data),K/K(Data|f),K/K(f),lr,data,name,seed,trainer,data_dir,val_size,callbacks,framework,batch_size,model_name,model_cache,num_workers,min_data_size,data_increment,learn_embeddings,scramble_data_by,short_vocab_size,val_train_shared,interval_patience,allow_final_overfit,interval_patience_tol,include_initial_length,data_increment_n_log_intervals
rv2lhkiw,547,275424.96875,133370.359375,142054.609375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,647,319598.9375,116452.484375,203146.453125,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,472,287351.71875,103233.8828125,184117.84375,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,572,296283.75,136368.203125,159915.5625,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
6pm02fgv,648,331746.125,116236.7109375,215509.421875,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
800ewl6s,524,302403.53125,102022.203125,200381.34375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
994eh2o3,565,269953.1875,110261.578125,159691.59375,0.0001,,Prequential Coding - Natural Languages,2,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
a6v5m1qi,576,295772.375,106107.90625,189664.46875,0.0001,,Prequential Coding - Natural Languages,2,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
aqtkod9w,623,281548.625,107752.875,173795.734375,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
cw8j2bp3,457,246430.578125,89989.28125,156441.296875,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/japanese/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
enjme1w1,500,314306.75,100270.125,214036.609375,0.0001,,Prequential Coding - Natural Languages,2,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
kuzs6n6i,427,253263.28125,78854.96875,174408.3125,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/japanese/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
mi70obza,642,321828.84375,116908.9375,204919.90625,0.0001,,Prequential Coding - Natural Languages,2,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
mpig72yz,579,268371.09375,132138.046875,136233.0625,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
dnh1abqn,459,232472.28125,80612.296875,151859.984375,0.0001,,Prequential Coding - Natural Languages,2,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/japanese/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
